#
# $static-counts
#
#     opcode       count-unpredicated    count-predicated
#
 316 JMP                        12795                0
 318 JNB                         3431                0
 319 JNBE                        8782                0
 320 JNL                           21                0
 321 JNLE                        3576                0
 324 JNS                         1081                0
 325 JNZ                        33362                0
 326 JO                             1                0
 329 JS                           500                0
 330 JZ                         56513                0
 388 LEA                        25857                0
 427 MOV                       198012                0
 429 MOVAPS                       889                0
 431 MOVD                         119                0
 436 MOVDQA                      1127                0
 437 MOVDQU                       223                0
 439 MOVHPD                      1046                0
 440 MOVHPS                        14                0
 442 MOVLPD                      1046                0
 454 MOVQ                        1076                0
 464 MOVSX                        250                0
 465 MOVSXD                      5737                0
 467 MOVUPS                       696                0
 468 MOVZX                      25157                0
 472 MUL                           21                0
 480 NEG                           87                0
 482 NOP                        11209                0
 491 NOT                            9                0
 493 OR                          2677                0
 510 PADDQ                          4                0
 517 PAND                          12                0
 526 PCMPEQB                     2118                0
 527 PCMPEQD                        1                0
 592 PMINUB                        64                0
 595 PMOVMSKB                    1052                0
 616 POP                        17507                0
 623 POR                          212                0
 634 PSHUFD                        94                0
 642 PSLLDQ                       354                0
 649 PSRLDQ                       123                0
 652 PSUBB                        913                0
 664 PUNPCKHDQ                      1                0
 667 PUNPCKLBW                     92                0
 668 PUNPCKLDQ                     11                0
 669 PUNPCKLQDQ                   647                0
 670 PUNPCKLWD                     92                0
 671 PUSH                       21249                0
 678 PXOR                        1407                0
 694 RDTSC                          8                0
 740 RET_NEAR                    5824                0
 743 ROL                           49                0
 744 ROR                            2                0
 756 SAR                         1261                0
 757 SARX                           2                0
 759 SBB                           10                0
 770 SETB                         251                0
 771 SETBE                        144                0
 777 SETNLE                         1                0
 781 SETNZ                       3340                0
 782 SETO                          19                0
 786 SETZ                        1848                0
 796 SHL                         5411                0
 799 SHR                         9635                0
 802 SHUFPD                         9                0
 821 STOSQ                          0             1926
 826 SUB                        13180                0
 833 SYSCALL                       89                0
 847 TEST                       46206                0
 856 TZCNT                        621                0
1227 VMOVD                         74                0
1229 VMOVDQA                        4                0
1232 VMOVDQU                      399                0
1249 VMOVQ                          2                0
1312 VPBROADCASTB                  52                0
1322 VPCMPEQB                     908                0
1456 VPMINUB                      246                0
1468 VPMOVMSKB                    658                0
1512 VPOR                           6                0
1608 VPXOR                        605                0
1704 VZEROUPPER                   649                0
1719 XCHG                         451                0
1721 XGETBV                         1                0
1723 XOR                        13944                0
1728 XRSTOR                         2                0
1732 XSAVE                          2                0
3000 *total                    707637             4138
3001 *mem-atomic                  165                0
3002 *stack-read                75667                0
3003 *stack-write               64383                0
3004 *iprel-read                 9677                0
3005 *iprel-write                 960                0
3007 *mem-read-1                36661                0
3008 *mem-read-2                 4331                0
3010 *mem-read-4                30257                0
3014 *mem-read-8               101832                0
3022 *mem-read-16                1324                0
3038 *mem-read-32                 872                0
3519 *mem-write-1                3024                0
3520 *mem-write-2                  61                0
3522 *mem-write-4                9486                0
3526 *mem-write-8               64281                0
3534 *mem-write-16               1587                0
3582 *mem-write-64                  4                0
4094 LAST                           2                0
# $eof
